"Vars","Estimate","stdError","p"
"Intercept","33.461",19.607,"0.089"
"drivingMinus7","9.275",1.849,"<0.001 *"
"walkingMinus7","-1.583",1.25,"0.206"
"transitMinus7","-10.302",3.481,"0.003 *"
"drivingMinus8","-9.558",1.765,"<0.001 *"
"walkingMinus8","0.613",1.145,"0.593"
"transitMinus8","11.721",3.133,"<0.001 *"
"anomalousWeekend","-22.484",41.267,"0.586"
"longWeekend","-4.91",21.72,"0.821"
"weekend","-7.329",13.261,"0.581"
"casesTminus1","-0.011",0.012,"0.356"
"casesTminus2","0.968",0.012,"<0.001 *"
"R2 Adjusted Training","0.937",NA,NA
"R2 Test","0.833",NA,NA
"RMSE Train","105.921",NA,NA
"RMSE Test","495.797",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
