"Vars","Estimate","stdError","p"
"Intercept","-72.008",235.216,"0.76"
"drivingMinus7","18.048",15.565,"0.247"
"walkingMinus7","-11.798",10.199,"0.249"
"transitMinus7","11.798",18.7,"0.529"
"drivingMinus8","23.732",17.88,"0.186"
"walkingMinus8","-6.179",9.405,"0.512"
"transitMinus8","-41.42",19.01,"0.03 *"
"anomalousWeekend","258.41",571.708,"0.652"
"longWeekend","-237.925",285.159,"0.405"
"weekend","-428.302",176.026,"0.016 *"
"casesTminus1","0.125",0.065,"0.053"
"casesTminus2","0.133",0.065,"0.041 *"
"R2 Adjusted Training","0.264",NA,NA
"R2 Test","0.055",NA,NA
"RMSE Train","976.958",NA,NA
"RMSE Test","451.53",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.489",NA,NA
