"Vars","Estimate","stdError","p"
"Intercept","4.44",10.43,"0.671"
"drivingMinus7","0.87",0.747,"0.245"
"walkingMinus7","-0.502",0.397,"0.208"
"transitMinus7","0.269",0.537,"0.617"
"drivingMinus8","-0.523",0.86,"0.543"
"walkingMinus8","0.454",0.495,"0.36"
"transitMinus8","-0.718",0.446,"0.109"
"anomalousWeekend","9.35",25.097,"0.71"
"longWeekend","10.155",12.897,"0.432"
"weekend","-26.119",8.759,"0.003 *"
"casesTminus1","0.39",0.058,"<0.001 *"
"casesTminus2","0.469",0.058,"<0.001 *"
"R2 Adjusted Training","0.725",NA,NA
"R2 Test","0.759",NA,NA
"RMSE Train","44.29",NA,NA
"RMSE Test","234.609",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.253",NA,NA
