"Vars","Estimate","stdError","p"
"Intercept","6.261",6.811,"0.358"
"drivingMinus7","-0.233",0.333,"0.484"
"walkingMinus7","0.428",0.259,"0.1"
"transitMinus7","-0.606",0.668,"0.364"
"drivingMinus8","-0.356",0.326,"0.276"
"walkingMinus8","0.167",0.28,"0.552"
"transitMinus8","0.195",0.672,"0.772"
"anomalousWeekend","-3.574",14.734,"0.808"
"longWeekend","1.578",6.813,"0.817"
"weekend","-14.276",4.126,"0.001 *"
"casesTminus1","-0.078",0.02,"<0.001 *"
"casesTminus2","0.898",0.02,"<0.001 *"
"R2 Adjusted Training","0.934",NA,NA
"R2 Test","0.843",NA,NA
"RMSE Train","36.626",NA,NA
"RMSE Test","60.325",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
