"Vars","Estimate","stdError","p"
"Intercept","-1.658",19.42,"0.932"
"drivingMinus7","0.9",1.075,"0.403"
"walkingMinus7","-0.05",0.519,"0.924"
"transitMinus7","-0.517",1.264,"0.683"
"drivingMinus8","-1.486",1.349,"0.271"
"walkingMinus8","0.843",0.63,"0.182"
"transitMinus8","-0.411",1.263,"0.745"
"anomalousWeekend","2.02",45.989,"0.965"
"longWeekend","-22.599",23.625,"0.34"
"weekend","0.588",15.285,"0.969"
"casesTminus1","0.529",0.064,"<0.001 *"
"casesTminus2","0.297",0.066,"<0.001 *"
"R2 Adjusted Training","0.66",NA,NA
"R2 Test","0.638",NA,NA
"RMSE Train","80.95",NA,NA
"RMSE Test","358.138",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.256",NA,NA
