"Vars","Estimate","stdError","p"
"Intercept","23.854",12.078,"0.049 *"
"drivingMinus7","2.165",0.865,"0.013 *"
"walkingMinus7","-0.615",0.487,"0.207"
"transitMinus7","-0.073",0.605,"0.904"
"drivingMinus8","0.204",0.903,"0.821"
"walkingMinus8","-0.044",0.491,"0.929"
"transitMinus8","-1.008",0.627,"0.109"
"anomalousWeekend","-18.602",42.821,"0.664"
"longWeekend","-10.488",22.234,"0.638"
"weekend","-29.895",12.414,"0.017 *"
"casesTminus1","0.579",0.064,"<0.001 *"
"casesTminus2","0.169",0.061,"0.006 *"
"R2 Adjusted Training","0.78",NA,NA
"R2 Test","0.011",NA,NA
"RMSE Train","75.85",NA,NA
"RMSE Test","511.101",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
