"Vars","Estimate","stdError","p"
"Intercept","40.747",19.821,"0.041 *"
"drivingMinus7","0.197",0.695,"0.777"
"walkingMinus7","0.928",0.745,"0.214"
"transitMinus7","0.567",1.75,"0.746"
"drivingMinus8","0.04",0.789,"0.96"
"walkingMinus8","-0.944",0.636,"0.139"
"transitMinus8","-0.803",1.692,"0.636"
"anomalousWeekend","-1.326",38.432,"0.973"
"longWeekend","-11.343",20.221,"0.575"
"weekend","-45.757",13.524,"0.001 *"
"casesTminus1","0.358",0.058,"<0.001 *"
"casesTminus2","0.456",0.059,"<0.001 *"
"R2 Adjusted Training","0.616",NA,NA
"R2 Test","0.173",NA,NA
"RMSE Train","69.228",NA,NA
"RMSE Test","295.136",NA,NA
"RMSPE Train","0.892",NA,NA
"RMSPE Test","0.368",NA,NA
