"Vars","Estimate","stdError","p"
"Intercept","-0.527",39.098,"0.989"
"drivingMinus7","9.72",2.646,"<0.001 *"
"walkingMinus7","-5.622",1.519,"<0.001 *"
"transitMinus7","-5.373",3.116,"0.086"
"drivingMinus8","-7.649",3.313,"0.022 *"
"walkingMinus8","5.015",1.915,"0.009 *"
"transitMinus8","3.991",3.02,"0.188"
"anomalousWeekend","6.084",92.407,"0.948"
"longWeekend","-16.86",47.445,"0.723"
"weekend","-13.461",29.352,"0.647"
"casesTminus1","0.542",0.061,"<0.001 *"
"casesTminus2","0.355",0.06,"<0.001 *"
"R2 Adjusted Training","0.825",NA,NA
"R2 Test","0.1",NA,NA
"RMSE Train","164.15",NA,NA
"RMSE Test","147.709",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.282",NA,NA
