"Vars","Estimate","stdError","p"
"Intercept","-29.843",24.832,"0.233"
"drivingMinus7","3.277",3.864,"0.399"
"walkingMinus7","-0.742",1.471,"0.615"
"transitMinus7","-1.229",3.858,"0.751"
"drivingMinus8","6.146",3.855,"0.114"
"walkingMinus8","1.456",1.493,"0.332"
"transitMinus8","-11.442",3.77,"0.003 *"
"R2 Adjusted Training","0.752",NA,NA
"R2 Test","0.002",NA,NA
"RMSE Train","88.353",NA,NA
"RMSE Test","563.022",NA,NA
"RMSPE Train","5.549",NA,NA
"RMSPE Test","0.46",NA,NA
