"Vars","Estimate","stdError","p"
"Intercept","-22.152",13.17,"0.096"
"drivingMinus7","1.464",1.75,"0.405"
"walkingMinus7","-0.546",0.96,"0.571"
"transitMinus7","-2.124",1.427,"0.14"
"drivingMinus8","3.74",1.828,"0.043 *"
"walkingMinus8","-1.252",1.043,"0.233"
"transitMinus8","-2.005",1.375,"0.148"
"R2 Adjusted Training","0.421",NA,NA
"R2 Test","0.434",NA,NA
"RMSE Train","53.297",NA,NA
"RMSE Test","823.974",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.802",NA,NA
