"Vars","Estimate","stdError","p"
"Intercept","12.967",5.696,"0.024 *"
"drivingMinus7","-0.047",0.277,"0.867"
"walkingMinus7","-0.207",0.292,"0.48"
"transitMinus7","0.166",0.492,"0.736"
"drivingMinus8","-0.191",0.259,"0.461"
"walkingMinus8","0.134",0.253,"0.596"
"transitMinus8","0.207",0.475,"0.663"
"anomalousWeekend","-9.085",13.863,"0.513"
"longWeekend","-1.636",6.693,"0.807"
"weekend","-4.813",4.018,"0.232"
"casesTminus1","1.07",0.066,"<0.001 *"
"casesTminus2","-0.06",0.069,"0.387"
"R2 Adjusted Training","0.942",NA,NA
"R2 Test","0.694",NA,NA
"RMSE Train","25.012",NA,NA
"RMSE Test","140.206",NA,NA
"RMSPE Train","1.01",NA,NA
"RMSPE Test","0.144",NA,NA
