"Vars","Estimate","stdError","p"
"Intercept","15.053",6.991,"0.032 *"
"drivingMinus7","-0.497",0.417,"0.235"
"walkingMinus7","0.185",0.337,"0.584"
"transitMinus7","1.247",0.729,"0.089"
"drivingMinus8","-0.426",0.41,"0.299"
"walkingMinus8","0.888",0.347,"0.011 *"
"transitMinus8","-1.39",0.722,"0.055"
"anomalousWeekend","-6.394",14.703,"0.664"
"longWeekend","-5.259",7.766,"0.499"
"weekend","-16.792",4.494,"<0.001 *"
"casesTminus1","0.662",0.062,"<0.001 *"
"casesTminus2","0.31",0.063,"<0.001 *"
"R2 Adjusted Training","0.933",NA,NA
"R2 Test","0.087",NA,NA
"RMSE Train","25.151",NA,NA
"RMSE Test","60.227",NA,NA
"RMSPE Train","0.374",NA,NA
"RMSPE Test","0.138",NA,NA
