"Vars","Estimate","stdError","p"
"Intercept","2133.771",1654.599,"0.201"
"drivingMinus7","-57.806",35.197,"0.105"
"walkingMinus7","89.65",38.547,"0.023 *"
"transitMinus7","-52.495",30.605,"0.091"
"anomalousWeekend","-289.911",766.225,"0.706"
"longWeekend","-693.449",744.286,"0.355"
"weekend","-1650.825",395.237,"<0.001 *"
"casesTminus1","0.825",0.107,"<0.001 *"
"casesTminus2","0.105",0.123,"0.396"
"R2 Adjusted Training","0.926",NA,NA
"R2 Test","0.022",NA,NA
"RMSE Train","1244.15",NA,NA
"RMSE Test","837.429",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.505",NA,NA
