"Vars","Estimate","stdError","p"
"Intercept","124.453",14.277,"<0.001 *"
"drivingMinus7","1.23",0.631,"0.055"
"walkingMinus7","-0.717",0.525,"0.176"
"transitMinus7","-1.772",0.258,"<0.001 *"
"R2 Adjusted Training","0.495",NA,NA
"R2 Test","0.016",NA,NA
"RMSE Train","27.747",NA,NA
"RMSE Test","32.73",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.29",NA,NA
