"Vars","Estimate","stdError","p"
"Intercept","237.078",55.551,"<0.001 *"
"drivingMinus7","3.434",2.215,"0.126"
"walkingMinus7","-0.534",1.555,"0.732"
"transitMinus7","-5.629",1.432,"<0.001 *"
"anomalousWeekend","4.32",45.108,"0.924"
"longWeekend","-1.854",39.074,"0.962"
"weekend","-67.762",22.335,"0.003 *"
"casesTminus1","0.136",0.119,"0.259"
"casesTminus2","0.265",0.108,"0.017 *"
"R2 Adjusted Training","0.786",NA,NA
"R2 Test","0.125",NA,NA
"RMSE Train","67.989",NA,NA
"RMSE Test","94.271",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.277",NA,NA
