"Vars","Estimate","stdError","p"
"Intercept","563.266",194.499,"0.005 *"
"drivingMinus7","-15.96",6.355,"0.015 *"
"walkingMinus7","13.22",9.292,"0.16"
"transitMinus7","1.111",3.423,"0.747"
"anomalousWeekend","48.494",157.908,"0.76"
"longWeekend","-171.207",124.398,"0.173"
"weekend","-175.909",76.158,"0.024 *"
"casesTminus1","0.153",0.105,"0.148"
"casesTminus2","0.491",0.103,"<0.001 *"
"R2 Adjusted Training","0.589",NA,NA
"R2 Test","0.02",NA,NA
"RMSE Train","217.571",NA,NA
"RMSE Test","239.635",NA,NA
"RMSPE Train","3.366",NA,NA
"RMSPE Test","Inf",NA,NA
