"Vars","Estimate","stdError","p"
"Intercept","150.743",102.656,"0.143"
"drivingMinus10","-0.502",3.314,"0.88"
"walkingMinus10","0.07",2.873,"0.981"
"transitMinus10","-1.847",2.008,"0.359"
"anomalousWeekend","10.709",251.519,"0.966"
"longWeekend","0.519",129.482,"0.997"
"weekend","-281.953",66.859,"<0.001 *"
"casesTminus1","0.438",0.066,"<0.001 *"
"casesTminus2","0.44",0.07,"<0.001 *"
"R2 Adjusted Training","0.731",NA,NA
"R2 Test","0.002",NA,NA
"RMSE Train","451.51",NA,NA
"RMSE Test","3020.634",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.311",NA,NA
