"Vars","Estimate","stdError","p"
"Intercept","4.749",3.366,"0.159"
"drivingMinus10","0.111",0.121,"0.357"
"walkingMinus10","-0.123",0.154,"0.422"
"transitMinus10","0.031",0.082,"0.7"
"anomalousWeekend","2.631",7.629,"0.73"
"longWeekend","-3.036",4.201,"0.47"
"weekend","-5.94",1.997,"0.003 *"
"casesTminus1","-0.012",0.011,"0.285"
"casesTminus2","0.98",0.011,"<0.001 *"
"R2 Adjusted Training","0.956",NA,NA
"R2 Test","0.883",NA,NA
"RMSE Train","19.43",NA,NA
"RMSE Test","75.689",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
