"Vars","Estimate","stdError","p"
"Intercept","11.14",6.098,"0.068"
"drivingMinus10","-0.258",0.175,"0.142"
"walkingMinus10","0.078",0.222,"0.726"
"transitMinus10","-0.12",0.161,"0.456"
"anomalousWeekend","-2.617",14.582,"0.858"
"longWeekend","5.637",6.689,"0.4"
"weekend","-13.595",3.76,"<0.001 *"
"casesTminus1","-0.063",0.019,"0.001 *"
"casesTminus2","0.913",0.019,"<0.001 *"
"R2 Adjusted Training","0.934",NA,NA
"R2 Test","0.834",NA,NA
"RMSE Train","36.857",NA,NA
"RMSE Test","61.772",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
