"Vars","Estimate","stdError","p"
"Intercept","175.888",150.561,"0.244"
"drivingMinus10","22.662",7.802,"0.004 *"
"walkingMinus10","-9.352",5.984,"0.119"
"transitMinus10","-10.436",3.79,"0.006 *"
"anomalousWeekend","-240.999",415.009,"0.562"
"longWeekend","85.767",215.889,"0.692"
"weekend","-203.406",110.736,"0.067"
"casesTminus1","0.124",0.065,"0.058"
"casesTminus2","0.162",0.062,"0.01 *"
"R2 Adjusted Training","0.256",NA,NA
"R2 Test","0.001",NA,NA
"RMSE Train","751.052",NA,NA
"RMSE Test","576.27",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.407",NA,NA
