"Vars","Estimate","stdError","p"
"Intercept","5.336",2.548,"0.037 *"
"drivingMinus10","-0.093",0.066,"0.162"
"walkingMinus10","0.003",0.119,"0.978"
"transitMinus10","0.146",0.114,"0.2"
"anomalousWeekend","-3.443",6.773,"0.611"
"longWeekend","-0.52",3.285,"0.874"
"weekend","-1.306",1.859,"0.483"
"casesTminus1","0",0.01,"0.989"
"casesTminus2","1.013",0.01,"<0.001 *"
"R2 Adjusted Training","0.969",NA,NA
"R2 Test","0.782",NA,NA
"RMSE Train","17.888",NA,NA
"RMSE Test","268.582",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
