"Vars","Estimate","stdError","p"
"Intercept","17.8",16.433,"0.28"
"drivingMinus10","1.791",1.102,"0.106"
"walkingMinus10","-0.203",0.699,"0.772"
"transitMinus10","-1.521",0.661,"0.022 *"
"anomalousWeekend","-14.721",52.335,"0.779"
"longWeekend","0.077",27.605,"0.998"
"weekend","-48.317",14.627,"0.001 *"
"casesTminus1","0.331",0.057,"<0.001 *"
"casesTminus2","0.394",0.057,"<0.001 *"
"R2 Adjusted Training","0.687",NA,NA
"R2 Test","0.001",NA,NA
"RMSE Train","96.774",NA,NA
"RMSE Test","252.827",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.581",NA,NA
