"Vars","Estimate","stdError","p"
"Intercept","-201.944",165.668,"0.224"
"drivingMinus10","36.438",9.039,"<0.001 *"
"walkingMinus10","0.641",6.892,"0.926"
"transitMinus10","-35.644",4.597,"<0.001 *"
"R2 Adjusted Training","0.323",NA,NA
"R2 Test","0.388",NA,NA
"RMSE Train","804.659",NA,NA
"RMSE Test","1312.404",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","17.509",NA,NA
