"Vars","Estimate","stdError","p"
"Intercept","24.291",20.895,"0.246"
"drivingMinus10","-0.012",0.675,"0.985"
"walkingMinus10","-0.075",0.491,"0.878"
"transitMinus10","0.316",0.477,"0.508"
"anomalousWeekend","-1.529",53.242,"0.977"
"longWeekend","-20.985",27.157,"0.44"
"weekend","-41.041",13.897,"0.003 *"
"casesTminus1","0.601",0.062,"<0.001 *"
"casesTminus2","0.447",0.065,"<0.001 *"
"R2 Adjusted Training","0.832",NA,NA
"R2 Test","0.367",NA,NA
"RMSE Train","94.106",NA,NA
"RMSE Test","512.889",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.25",NA,NA
