"Vars","Estimate","stdError","p"
"Intercept","24.212",15.798,"0.127"
"drivingMinus10","1.609",1.035,"0.122"
"walkingMinus10","-0.958",0.718,"0.183"
"transitMinus10","-1.468",0.574,"0.011 *"
"anomalousWeekend","-11.059",44.476,"0.804"
"longWeekend","-8.786",23.393,"0.708"
"weekend","-9.715",12.346,"0.432"
"casesTminus1","0.452",0.063,"<0.001 *"
"casesTminus2","0.3",0.064,"<0.001 *"
"R2 Adjusted Training","0.659",NA,NA
"R2 Test","0.582",NA,NA
"RMSE Train","80.44",NA,NA
"RMSE Test","189.83",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.24",NA,NA
