"Vars","Estimate","stdError","p"
"Intercept","15.053",17.72,"0.396"
"drivingMinus10","0.689",0.688,"0.317"
"walkingMinus10","-0.486",0.466,"0.299"
"transitMinus10","-0.929",0.592,"0.118"
"anomalousWeekend","2.232",46.242,"0.962"
"longWeekend","-16.6",23.747,"0.485"
"weekend","-13.499",12.481,"0.281"
"casesTminus1","0.538",0.064,"<0.001 *"
"casesTminus2","0.313",0.065,"<0.001 *"
"R2 Adjusted Training","0.655",NA,NA
"R2 Test","0.646",NA,NA
"RMSE Train","81.478",NA,NA
"RMSE Test","345.382",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.247",NA,NA
