"Vars","Estimate","stdError","p"
"Intercept","61.279",125.535,"0.626"
"drivingMinus10","2.867",5.518,"0.604"
"walkingMinus10","-0.354",4.811,"0.941"
"transitMinus10","-1.799",3.611,"0.619"
"anomalousWeekend","-34.69",295.662,"0.907"
"longWeekend","134.852",153.043,"0.379"
"weekend","-65.932",79.114,"0.405"
"casesTminus1","0.576",0.061,"<0.001 *"
"casesTminus2","0.364",0.061,"<0.001 *"
"R2 Adjusted Training","0.87",NA,NA
"R2 Test","0.039",NA,NA
"RMSE Train","530.929",NA,NA
"RMSE Test","818.083",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.469",NA,NA
