"Vars","Estimate","stdError","p"
"Intercept","6.659",21.912,"0.762"
"drivingMinus10","-0.047",0.324,"0.885"
"walkingMinus10","0.271",0.319,"0.396"
"transitMinus10","-0.256",0.43,"0.553"
"anomalousWeekend","3.977",34.293,"0.908"
"longWeekend","-2.866",15.342,"0.852"
"weekend","-18.335",7.88,"0.021 *"
"casesTminus1","0.499",0.073,"<0.001 *"
"casesTminus2","0.368",0.073,"<0.001 *"
"R2 Adjusted Training","0.756",NA,NA
"R2 Test","0.001",NA,NA
"RMSE Train","44.359",NA,NA
"RMSE Test","64.219",NA,NA
"RMSPE Train","1.73",NA,NA
"RMSPE Test","Inf",NA,NA
