"Vars","Estimate","stdError","p"
"Intercept","39.012",11.185,"0.001 *"
"drivingMinus10","0.727",0.647,"0.263"
"walkingMinus10","-0.308",0.337,"0.361"
"transitMinus10","0.259",0.558,"0.642"
"anomalousWeekend","-29.09",42.615,"0.496"
"longWeekend","-0.402",23.443,"0.986"
"weekend","-39.691",11.781,"0.001 *"
"casesTminus1","0.638",0.062,"<0.001 *"
"casesTminus2","0.195",0.065,"0.003 *"
"R2 Adjusted Training","0.761",NA,NA
"R2 Test","0.036",NA,NA
"RMSE Train","78.998",NA,NA
"RMSE Test","534.669",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
