"Vars","Estimate","stdError","p"
"Intercept","-39.763",110.677,"0.72"
"drivingMinus10","14.714",5.677,"0.01 *"
"walkingMinus10","-5.022",3.353,"0.136"
"transitMinus10","-10.676",3.648,"0.004 *"
"anomalousWeekend","-48.076",282.831,"0.865"
"longWeekend","-129.958",146.999,"0.378"
"weekend","98.405",77.691,"0.207"
"casesTminus1","0.345",0.062,"<0.001 *"
"casesTminus2","0.342",0.063,"<0.001 *"
"R2 Adjusted Training","0.617",NA,NA
"R2 Test","0.009",NA,NA
"RMSE Train","507.918",NA,NA
"RMSE Test","913.76",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.345",NA,NA
