"Vars","Estimate","stdError","p"
"Intercept","42.441",18.11,"0.02 *"
"drivingMinus10","0.228",0.48,"0.635"
"walkingMinus10","-0.747",0.938,"0.426"
"transitMinus10","0.859",0.966,"0.375"
"anomalousWeekend","-18.101",42.348,"0.669"
"longWeekend","1.473",22.355,"0.947"
"weekend","-50.836",11.576,"<0.001 *"
"casesTminus1","-0.016",0.013,"0.199"
"casesTminus2","0.963",0.013,"<0.001 *"
"R2 Adjusted Training","0.933",NA,NA
"R2 Test","0.824",NA,NA
"RMSE Train","109.691",NA,NA
"RMSE Test","511.017",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
