"Vars","Estimate","stdError","p"
"Intercept","309.729",292.303,"0.29"
"drivingMinus10","63.055",12.909,"<0.001 *"
"walkingMinus10","-21.445",11.695,"0.068"
"transitMinus10","-38.719",8.162,"<0.001 *"
"R2 Adjusted Training","0.161",NA,NA
"R2 Test","0.016",NA,NA
"RMSE Train","1348.392",NA,NA
"RMSE Test","833.255",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.405",NA,NA
