"Vars","Estimate","stdError","p"
"Intercept","-12.361",25.877,"0.633"
"drivingMinus10","2.666",1.443,"0.066"
"walkingMinus10","-0.134",0.968,"0.89"
"transitMinus10","-2.077",0.586,"<0.001 *"
"anomalousWeekend","16.408",62.229,"0.792"
"longWeekend","27.556",32.322,"0.395"
"weekend","-42.194",16.957,"0.014 *"
"casesTminus1","0.381",0.067,"<0.001 *"
"casesTminus2","0.027",0.064,"0.67"
"R2 Adjusted Training","0.504",NA,NA
"R2 Test","0.231",NA,NA
"RMSE Train","112.2",NA,NA
"RMSE Test","190.249",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","1.203",NA,NA
