"Vars","Estimate","stdError","p"
"Intercept","99.212",112.749,"0.38"
"drivingMinus7","-0.354",3.421,"0.918"
"walkingMinus7","0.777",2.949,"0.793"
"transitMinus7","-2.678",2.158,"0.216"
"anomalousWeekend","58.231",260.522,"0.823"
"longWeekend","4.62",129.408,"0.972"
"weekend","-279.838",68.602,"<0.001 *"
"casesTminus1","0.434",0.067,"<0.001 *"
"casesTminus2","0.444",0.069,"<0.001 *"
"R2 Adjusted Training","0.731",NA,NA
"R2 Test","0.002",NA,NA
"RMSE Train","451.893",NA,NA
"RMSE Test","3017.864",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.312",NA,NA
