"Vars","Estimate","stdError","p"
"Intercept","14.665",15.23,"0.337"
"drivingMinus7","0.405",0.311,"0.194"
"walkingMinus7","-0.197",0.289,"0.496"
"transitMinus7","-0.104",0.306,"0.734"
"anomalousWeekend","-5.046",29.247,"0.863"
"longWeekend","-12.465",14.865,"0.403"
"weekend","-23.761",7.806,"0.003 *"
"casesTminus1","0.486",0.059,"<0.001 *"
"casesTminus2","0.41",0.06,"<0.001 *"
"R2 Adjusted Training","0.747",NA,NA
"R2 Test","0.752",NA,NA
"RMSE Train","52.065",NA,NA
"RMSE Test","127.214",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.186",NA,NA
