"Vars","Estimate","stdError","p"
"Intercept","1.357",22.891,"0.953"
"drivingMinus7","-0.719",0.671,"0.285"
"walkingMinus7","0.712",0.475,"0.135"
"transitMinus7","-0.249",0.51,"0.626"
"anomalousWeekend","13.644",53.959,"0.801"
"longWeekend","-25.847",26.897,"0.338"
"weekend","-36.585",14.114,"0.01 *"
"casesTminus1","0.584",0.061,"<0.001 *"
"casesTminus2","0.425",0.064,"<0.001 *"
"R2 Adjusted Training","0.834",NA,NA
"R2 Test","0.365",NA,NA
"RMSE Train","93.673",NA,NA
"RMSE Test","516.52",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.243",NA,NA
