"Vars","Estimate","stdError","p"
"Intercept","21.582",20.19,"0.286"
"drivingMinus7","1.888",1.193,"0.115"
"walkingMinus7","-0.641",0.727,"0.379"
"transitMinus7","-1.191",0.771,"0.124"
"anomalousWeekend","-9.736",56.256,"0.863"
"longWeekend","-0.866",28.436,"0.976"
"weekend","-29.217",15.673,"0.064"
"casesTminus1","0.354",0.059,"<0.001 *"
"casesTminus2","0.419",0.059,"<0.001 *"
"R2 Adjusted Training","0.671",NA,NA
"R2 Test","0.003",NA,NA
"RMSE Train","99.15",NA,NA
"RMSE Test","251.546",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.54",NA,NA
