"Vars","Estimate","stdError","p"
"Intercept","-83.777",235.575,"0.722"
"drivingMinus7","30.442",13.738,"0.028 *"
"walkingMinus7","-10.516",9.503,"0.27"
"transitMinus7","-25.532",7.608,"0.001 *"
"anomalousWeekend","244.695",572.967,"0.67"
"longWeekend","-256.458",283.449,"0.367"
"weekend","-300.533",160.877,"0.063"
"casesTminus1","0.14",0.064,"0.031 *"
"casesTminus2","0.149",0.064,"0.02 *"
"R2 Adjusted Training","0.248",NA,NA
"R2 Test","0.114",NA,NA
"RMSE Train","987.037",NA,NA
"RMSE Test","438.347",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.463",NA,NA
