"Vars","Estimate","stdError","p"
"Intercept","42.838",140.16,"0.76"
"drivingMinus7","0.562",5.65,"0.921"
"walkingMinus7","0.876",4.899,"0.858"
"transitMinus7","-1.587",3.793,"0.676"
"anomalousWeekend","-27.986",298.234,"0.925"
"longWeekend","127.189",152.315,"0.405"
"weekend","-55.699",80.794,"0.491"
"casesTminus1","0.578",0.062,"<0.001 *"
"casesTminus2","0.367",0.061,"<0.001 *"
"R2 Adjusted Training","0.87",NA,NA
"R2 Test","0.03",NA,NA
"RMSE Train","531.604",NA,NA
"RMSE Test","816.158",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.46",NA,NA
