"Vars","Estimate","stdError","p"
"Intercept","98.849",37.763,"0.009 *"
"drivingMinus7","-0.695",0.966,"0.473"
"walkingMinus7","-5.012",1.792,"0.006 *"
"transitMinus7","5.779",1.851,"0.002 *"
"anomalousWeekend","-47.907",81.312,"0.556"
"longWeekend","-7.879",42.628,"0.854"
"weekend","-98.482",23.458,"<0.001 *"
"casesTminus1","0.799",0.065,"<0.001 *"
"casesTminus2","0.159",0.066,"0.016 *"
"R2 Adjusted Training","0.92",NA,NA
"R2 Test","0.133",NA,NA
"RMSE Train","147.221",NA,NA
"RMSE Test","627.004",NA,NA
"RMSPE Train","1.581",NA,NA
"RMSPE Test","0.277",NA,NA
