"Vars","Estimate","stdError","p"
"Intercept","16.02",6.805,"0.019 *"
"drivingMinus7","-0.549",0.235,"0.02 *"
"walkingMinus7","0.569",0.296,"0.055"
"transitMinus7","-0.001",0.156,"0.995"
"anomalousWeekend","-4.988",14.803,"0.736"
"longWeekend","-5.878",7.841,"0.454"
"weekend","-16.5",3.876,"<0.001 *"
"casesTminus1","0.684",0.061,"<0.001 *"
"casesTminus2","0.289",0.062,"<0.001 *"
"R2 Adjusted Training","0.931",NA,NA
"R2 Test","0.087",NA,NA
"RMSE Train","25.581",NA,NA
"RMSE Test","60.847",NA,NA
"RMSPE Train","0.37",NA,NA
"RMSPE Test","0.139",NA,NA
