"Vars","Estimate","stdError","p"
"Intercept","41.145",81.094,"0.612"
"drivingMinus7","-7.452",1.727,"<0.001 *"
"walkingMinus7","4.948",1.534,"0.001 *"
"transitMinus7","-3.949",1.757,"0.026 *"
"anomalousWeekend","3.22",164.65,"0.984"
"longWeekend","-17.921",84.133,"0.832"
"weekend","-98.016",43.257,"0.024 *"
"casesTminus1","0.459",0.063,"<0.001 *"
"casesTminus2","0.171",0.063,"0.007 *"
"R2 Adjusted Training","0.675",NA,NA
"R2 Test","0.488",NA,NA
"RMSE Train","292.97",NA,NA
"RMSE Test","423.435",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.335",NA,NA
