"Vars","Estimate","stdError","p"
"Intercept","11.896",5.52,"0.032 *"
"drivingMinus7","-0.202",0.138,"0.144"
"walkingMinus7","-0.13",0.241,"0.59"
"transitMinus7","0.388",0.238,"0.104"
"anomalousWeekend","-8.477",13.763,"0.539"
"longWeekend","-2.239",6.627,"0.736"
"weekend","-4.22",3.744,"0.261"
"casesTminus1","1.07",0.066,"<0.001 *"
"casesTminus2","-0.061",0.068,"0.37"
"R2 Adjusted Training","0.942",NA,NA
"R2 Test","0.657",NA,NA
"RMSE Train","25.058",NA,NA
"RMSE Test","144.811",NA,NA
"RMSPE Train","0.95",NA,NA
"RMSPE Test","0.148",NA,NA
