"Vars","Estimate","stdError","p"
"Intercept","18.894",17.6,"0.284"
"drivingMinus7","2.4",1.067,"0.025 *"
"walkingMinus7","-1.382",0.717,"0.055"
"transitMinus7","-1.727",0.646,"0.008 *"
"anomalousWeekend","3.057",46.083,"0.947"
"longWeekend","-9.496",23.106,"0.681"
"weekend","-9.025",12.392,"0.467"
"casesTminus1","0.442",0.064,"<0.001 *"
"casesTminus2","0.297",0.063,"<0.001 *"
"R2 Adjusted Training","0.66",NA,NA
"R2 Test","0.581",NA,NA
"RMSE Train","80.343",NA,NA
"RMSE Test","196.214",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.243",NA,NA
