"Vars","Estimate","stdError","p"
"Intercept","6.979",6.725,"0.3"
"drivingMinus7","-0.522",0.171,"0.002 *"
"walkingMinus7","0.508",0.218,"0.02 *"
"transitMinus7","-0.376",0.173,"0.03 *"
"anomalousWeekend","-2.652",14.686,"0.857"
"longWeekend","1.143",6.761,"0.866"
"weekend","-15.93",3.766,"<0.001 *"
"casesTminus1","-0.075",0.019,"<0.001 *"
"casesTminus2","0.901",0.019,"<0.001 *"
"R2 Adjusted Training","0.934",NA,NA
"R2 Test","0.844",NA,NA
"RMSE Train","36.678",NA,NA
"RMSE Test","59.938",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
