"Vars","Estimate","stdError","p"
"Intercept","8.212",12.28,"0.504"
"drivingMinus7","1.469",0.337,"<0.001 *"
"walkingMinus7","0.988",0.339,"0.004 *"
"transitMinus7","-2.031",0.224,"<0.001 *"
"R2 Adjusted Training","0.5",NA,NA
"R2 Test","0.029",NA,NA
"RMSE Train","54.879",NA,NA
"RMSE Test","417.567",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.72",NA,NA
