"Vars","Estimate","stdError","p"
"Intercept","-31.872",118.101,"0.787"
"drivingMinus7","8.129",5.85,"0.166"
"walkingMinus7","0.559",3.414,"0.87"
"transitMinus7","-8.545",3.914,"0.03 *"
"anomalousWeekend","-49.688",287.88,"0.863"
"longWeekend","-142.937",145.574,"0.327"
"weekend","76.969",80.221,"0.338"
"casesTminus1","0.342",0.062,"<0.001 *"
"casesTminus2","0.331",0.062,"<0.001 *"
"R2 Adjusted Training","0.624",NA,NA
"R2 Test","0.014",NA,NA
"RMSE Train","503.269",NA,NA
"RMSE Test","923.195",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.375",NA,NA
