"Vars","Estimate","stdError","p"
"Intercept","32.298",11.264,"0.005 *"
"drivingMinus7","1.924",0.6,"0.002 *"
"walkingMinus7","-0.582",0.31,"0.062"
"transitMinus7","-0.396",0.557,"0.477"
"anomalousWeekend","-35.871",42.026,"0.394"
"longWeekend","-7.756",21.998,"0.725"
"weekend","-28.828",11.631,"0.014 *"
"casesTminus1","0.562",0.063,"<0.001 *"
"casesTminus2","0.191",0.06,"0.002 *"
"R2 Adjusted Training","0.776",NA,NA
"R2 Test","0.009",NA,NA
"RMSE Train","76.56",NA,NA
"RMSE Test","508.363",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
