"Vars","Estimate","stdError","p"
"Intercept","-41.72",34.016,"0.222"
"drivingMinus7","2.706",0.481,"<0.001 *"
"walkingMinus7","-0.675",0.503,"0.182"
"transitMinus7","-2.413",0.643,"<0.001 *"
"R2 Adjusted Training","0.334",NA,NA
"R2 Test","0.1",NA,NA
"RMSE Train","73.351",NA,NA
"RMSE Test","64.161",NA,NA
"RMSPE Train","3.224",NA,NA
"RMSPE Test","Inf",NA,NA
