"Vars","Estimate","stdError","p"
"Intercept","931.718",63.435,"<0.001 *"
"drivingMinus8","1.897",3.029,"0.533"
"walkingMinus8","3.97",1.897,"0.04 *"
"transitMinus8","-7.284",3.75,"0.056"
"drivingMinus9","-4.456",3.247,"0.174"
"walkingMinus9","0.933",2.095,"0.657"
"transitMinus9","-4.638",4.336,"0.288"
"R2 Adjusted Training","0.908",NA,NA
"R2 Test","0.392",NA,NA
"RMSE Train","111.299",NA,NA
"RMSE Test","315.866",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","1.015",NA,NA
