"Vars","Estimate","stdError","p"
"Intercept","281.477",61.668,"<0.001 *"
"drivingMinus8","7.321",2.427,"0.004 *"
"walkingMinus8","-0.932",1.436,"0.519"
"transitMinus8","-6.588",2.09,"0.002 *"
"drivingMinus9","-0.568",2.437,"0.816"
"walkingMinus9","-1.122",1.456,"0.444"
"transitMinus9","-1.315",1.849,"0.479"
"anomalousWeekend","15.121",44.741,"0.737"
"longWeekend","16.138",38.341,"0.675"
"weekend","-96.831",24.135,"<0.001 *"
"casesTminus1","0.084",0.117,"0.473"
"casesTminus2","0.111",0.119,"0.352"
"R2 Adjusted Training","0.812",NA,NA
"R2 Test","0.118",NA,NA
"RMSE Train","63.581",NA,NA
"RMSE Test","94.344",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.3",NA,NA
