"Vars","Estimate","stdError","p"
"Intercept","74.893",20.94,"0.001 *"
"drivingMinus8","-1.253",0.723,"0.087"
"walkingMinus8","1.347",0.519,"0.011 *"
"transitMinus8","-0.185",0.795,"0.817"
"drivingMinus9","0.005",0.857,"0.995"
"walkingMinus9","-0.238",0.504,"0.638"
"transitMinus9","-0.371",0.831,"0.656"
"anomalousWeekend","12.961",15.066,"0.392"
"longWeekend","5.23",12.339,"0.673"
"weekend","-27.884",7.2,"<0.001 *"
"casesTminus1","0.459",0.107,"<0.001 *"
"casesTminus2","0.289",0.098,"0.004 *"
"R2 Adjusted Training","0.909",NA,NA
"R2 Test","0.243",NA,NA
"RMSE Train","24.812",NA,NA
"RMSE Test","30.116",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.219",NA,NA
