"Vars","Estimate","stdError","p"
"Intercept","246.441",46.158,"<0.001 *"
"drivingMinus8","-0.447",1.34,"0.74"
"walkingMinus8","0.495",0.812,"0.545"
"transitMinus8","-0.334",1.68,"0.843"
"drivingMinus9","1.541",1.228,"0.213"
"walkingMinus9","0.48",0.625,"0.445"
"transitMinus9","-3.797",1.636,"0.023 *"
"anomalousWeekend","7.798",22.768,"0.733"
"longWeekend","-26.259",16.087,"0.107"
"weekend","-49.562",12.284,"<0.001 *"
"casesTminus1","0.359",0.108,"0.001 *"
"casesTminus2","-0.225",0.106,"0.036 *"
"R2 Adjusted Training","0.844",NA,NA
"R2 Test","0.624",NA,NA
"RMSE Train","35.029",NA,NA
"RMSE Test","44.821",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.45",NA,NA
