"Vars","Estimate","stdError","p"
"Intercept","431.184",200.99,"0.036 *"
"drivingMinus8","-18.825",8.488,"0.03 *"
"walkingMinus8","14.609",9.053,"0.112"
"transitMinus8","2.335",8.307,"0.78"
"drivingMinus9","5.336",9.274,"0.567"
"walkingMinus9","-11.534",10.057,"0.256"
"transitMinus9","2.692",8.015,"0.738"
"anomalousWeekend","-0.425",176.087,"0.998"
"longWeekend","-186.701",129.122,"0.153"
"weekend","-59.468",72.754,"0.417"
"casesTminus1","0.169",0.108,"0.121"
"casesTminus2","0.504",0.105,"<0.001 *"
"R2 Adjusted Training","0.595",NA,NA
"R2 Test","0.035",NA,NA
"RMSE Train","215.991",NA,NA
"RMSE Test","225.852",NA,NA
"RMSPE Train","7.254",NA,NA
"RMSPE Test","Inf",NA,NA
