"Vars","Estimate","stdError","p"
"Intercept","22928.158",1508.38,"<0.001 *"
"drivingMinus8","-197.562",60.713,"0.002 *"
"walkingMinus8","147.668",61.315,"0.018 *"
"transitMinus8","-168.389",90.857,"0.068"
"drivingMinus9","-170.678",65.943,"0.012 *"
"walkingMinus9","-186.509",73.688,"0.013 *"
"transitMinus9","398.33",108.853,"<0.001 *"
"R2 Adjusted Training","0.758",NA,NA
"R2 Test","0.122",NA,NA
"RMSE Train","2251.183",NA,NA
"RMSE Test","4141.937",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","2.907",NA,NA
