"Vars","Estimate","stdError","p"
"Intercept","91.854",16.735,"<0.001 *"
"drivingMinus8","-1.159",0.479,"0.018 *"
"walkingMinus8","0.454",0.324,"0.166"
"transitMinus8","0.017",0.331,"0.959"
"drivingMinus9","-0.581",0.545,"0.29"
"walkingMinus9","-0.161",0.306,"0.601"
"transitMinus9","0.675",0.356,"0.062"
"anomalousWeekend","2.816",9.111,"0.758"
"longWeekend","13.382",8.67,"0.127"
"weekend","0.483",4.768,"0.92"
"casesTminus1","-0.165",0.108,"0.133"
"casesTminus2","0.234",0.103,"0.027 *"
"R2 Adjusted Training","0.578",NA,NA
"R2 Test","0.116",NA,NA
"RMSE Train","14.642",NA,NA
"RMSE Test","41.028",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","1.421",NA,NA
