"Vars","Estimate","stdError","p"
"Intercept","5.793",17.773,"0.745"
"drivingMinus8","-3.933",2.471,"0.115"
"walkingMinus8","0.705",1.181,"0.552"
"transitMinus8","0.597",2.67,"0.823"
"drivingMinus9","1.767",2.437,"0.47"
"walkingMinus9","0.952",1.19,"0.426"
"transitMinus9","-3.847",2.68,"0.154"
"R2 Adjusted Training","0.611",NA,NA
"R2 Test","0.028",NA,NA
"RMSE Train","71.774",NA,NA
"RMSE Test","47.593",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.514",NA,NA
