"Vars","Estimate","stdError","p"
"Intercept","39.311",18.762,"0.037 *"
"drivingMinus8","0.784",0.738,"0.289"
"walkingMinus8","-1.932",0.745,"0.01 *"
"transitMinus8","-0.399",1.57,"0.8"
"drivingMinus9","0.377",0.739,"0.611"
"walkingMinus9","0.88",0.68,"0.197"
"transitMinus9","0.315",1.541,"0.838"
"anomalousWeekend","1.388",38.261,"0.971"
"longWeekend","-6.994",19.993,"0.727"
"weekend","-58.984",11.586,"<0.001 *"
"casesTminus1","0.387",0.058,"<0.001 *"
"casesTminus2","0.435",0.059,"<0.001 *"
"R2 Adjusted Training","0.619",NA,NA
"R2 Test","0.179",NA,NA
"RMSE Train","68.915",NA,NA
"RMSE Test","288.776",NA,NA
"RMSPE Train","0.912",NA,NA
"RMSPE Test","0.372",NA,NA
