"Vars","Estimate","stdError","p"
"Intercept","52.713",38.356,"0.171"
"drivingMinus8","5.682",2.778,"0.042 *"
"walkingMinus8","-0.658",1.677,"0.695"
"transitMinus8","-3.424",3.049,"0.263"
"drivingMinus9","-11.319",2.978,"<0.001 *"
"walkingMinus9","6.367",1.814,"0.001 *"
"transitMinus9","3.865",2.941,"0.19"
"anomalousWeekend","-16.716",92.228,"0.856"
"longWeekend","-23.351",47.621,"0.624"
"weekend","-23.483",26.575,"0.378"
"casesTminus1","0.533",0.062,"<0.001 *"
"casesTminus2","0.408",0.062,"<0.001 *"
"R2 Adjusted Training","0.825",NA,NA
"R2 Test","0.057",NA,NA
"RMSE Train","164.337",NA,NA
"RMSE Test","218.753",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.413",NA,NA
