"Vars","Estimate","stdError","p"
"Intercept","-35.399",114.571,"0.758"
"drivingMinus8","14.053",9.322,"0.133"
"walkingMinus8","-0.406",4.166,"0.923"
"transitMinus8","-18.084",12.13,"0.137"
"drivingMinus9","0.04",9.652,"0.997"
"walkingMinus9","-3.411",4.253,"0.423"
"transitMinus9","7.422",11.774,"0.529"
"anomalousWeekend","-21.456",286.015,"0.94"
"longWeekend","-132.158",146.154,"0.367"
"weekend","35.486",82.228,"0.666"
"casesTminus1","0.335",0.063,"<0.001 *"
"casesTminus2","0.339",0.063,"<0.001 *"
"R2 Adjusted Training","0.627",NA,NA
"R2 Test","0.003",NA,NA
"RMSE Train","501.113",NA,NA
"RMSE Test","993.028",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.387",NA,NA
