"Vars","Estimate","stdError","p"
"Intercept","-127.49",215.096,"0.554"
"drivingMinus8","9.49",14.951,"0.526"
"walkingMinus8","-15.239",8.97,"0.091"
"transitMinus8","-20.058",17.42,"0.251"
"drivingMinus9","36.969",16.419,"0.025 *"
"walkingMinus9","-4.964",9.091,"0.586"
"transitMinus9","-10.946",17.343,"0.529"
"anomalousWeekend","248.417",542.736,"0.648"
"longWeekend","-204.105",275.08,"0.459"
"weekend","-350.547",143.007,"0.015 *"
"casesTminus1","0.144",0.062,"0.02 *"
"casesTminus2","0.126",0.062,"0.044 *"
"R2 Adjusted Training","0.313",NA,NA
"R2 Test","0.007",NA,NA
"RMSE Train","943.867",NA,NA
"RMSE Test","679.301",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.791",NA,NA
