"Vars","Estimate","stdError","p"
"Intercept","132.264",157.698,"0.402"
"drivingMinus8","-5.885",10.09,"0.56"
"walkingMinus8","-2.886",6.312,"0.648"
"transitMinus8","4.984",13.874,"0.72"
"drivingMinus9","4.653",12.693,"0.714"
"walkingMinus9","12.768",7.154,"0.076"
"transitMinus9","-13.978",13.647,"0.307"
"anomalousWeekend","22.093",418.264,"0.958"
"longWeekend","-24.429",211.6,"0.908"
"weekend","-263.92",113.077,"0.02 *"
"casesTminus1","0.125",0.062,"0.045 *"
"casesTminus2","0.149",0.061,"0.016 *"
"R2 Adjusted Training","0.299",NA,NA
"R2 Test","0.011",NA,NA
"RMSE Train","729.13",NA,NA
"RMSE Test","712.393",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.599",NA,NA
