"Vars","Estimate","stdError","p"
"Intercept","43.365",94.314,"0.646"
"drivingMinus8","2.824",6.241,"0.651"
"walkingMinus8","-1.702",5.651,"0.764"
"transitMinus8","-7.861",11.551,"0.497"
"drivingMinus9","-8.878",6.751,"0.19"
"walkingMinus9","3.226",5.976,"0.59"
"transitMinus9","5.226",11.495,"0.65"
"anomalousWeekend","11.973",190.182,"0.95"
"longWeekend","7.266",114.021,"0.949"
"weekend","-135.764",61.401,"0.028 *"
"casesTminus1","0.444",0.076,"<0.001 *"
"casesTminus2","0.142",0.076,"0.062"
"R2 Adjusted Training","0.677",NA,NA
"R2 Test","0.011",NA,NA
"RMSE Train","328.844",NA,NA
"RMSE Test","1811.269",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","3.208",NA,NA
