"Vars","Estimate","stdError","p"
"Intercept","6.087",21.545,"0.778"
"drivingMinus8","-1.911",1.41,"0.177"
"walkingMinus8","1.852",0.675,"0.007 *"
"transitMinus8","-2.862",1.886,"0.13"
"drivingMinus9","0.919",1.474,"0.534"
"walkingMinus9","-1",0.701,"0.155"
"transitMinus9","2.818",1.847,"0.129"
"anomalousWeekend","5.8",52.555,"0.912"
"longWeekend","-20.796",26.544,"0.434"
"weekend","-34.599",13.684,"0.012 *"
"casesTminus1","0.588",0.062,"<0.001 *"
"casesTminus2","0.429",0.063,"<0.001 *"
"R2 Adjusted Training","0.842",NA,NA
"R2 Test","0.365",NA,NA
"RMSE Train","91.139",NA,NA
"RMSE Test","514.762",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.243",NA,NA
